Time,Timestamp,ISO8601,Heart Rate (bpm),Lap,Since start (second)
06:11:37.548,1775214697.548,2026-04-03T06:11:37.548-0500,105,1,204
06:11:38.548,1775214698.548,2026-04-03T06:11:38.548-0500,105,1,205
06:11:39.548,1775214699.548,2026-04-03T06:11:39.548-0500,106,1,206
06:11:40.548,1775214700.548,2026-04-03T06:11:40.548-0500,106,1,207
06:11:41.548,1775214701.548,2026-04-03T06:11:41.548-0500,107,1,208
06:11:42.548,1775214702.548,2026-04-03T06:11:42.548-0500,107,1,209
06:11:43.548,1775214703.548,2026-04-03T06:11:43.548-0500,107,1,210
06:11:44.548,1775214704.548,2026-04-03T06:11:44.548-0500,107,1,211
06:11:45.548,1775214705.548,2026-04-03T06:11:45.548-0500,107,1,212
06:11:46.548,1775214706.548,2026-04-03T06:11:46.548-0500,107,1,213
06:11:47.548,1775214707.548,2026-04-03T06:11:47.548-0500,107,1,214
06:11:48.548,1775214708.548,2026-04-03T06:11:48.548-0500,108,1,215
06:11:49.548,1775214709.548,2026-04-03T06:11:49.548-0500,108,1,216
06:11:50.548,1775214710.548,2026-04-03T06:11:50.548-0500,108,1,217
06:11:51.548,1775214711.548,2026-04-03T06:11:51.548-0500,108,1,218
06:11:52.548,1775214712.548,2026-04-03T06:11:52.548-0500,109,1,219
06:11:53.548,1775214713.548,2026-04-03T06:11:53.548-0500,109,1,220
06:11:54.548,1775214714.548,2026-04-03T06:11:54.548-0500,109,1,221
06:11:55.548,1775214715.548,2026-04-03T06:11:55.548-0500,109,1,222
06:11:56.548,1775214716.548,2026-04-03T06:11:56.548-0500,108,1,223
06:11:57.548,1775214717.548,2026-04-03T06:11:57.548-0500,108,1,224
06:11:58.548,1775214718.548,2026-04-03T06:11:58.548-0500,107,1,225
06:11:59.548,1775214719.548,2026-04-03T06:11:59.548-0500,107,1,226
06:12:00.548,1775214720.548,2026-04-03T06:12:00.548-0500,107,1,227
06:12:01.548,1775214721.548,2026-04-03T06:12:01.548-0500,108,1,228
06:12:02.548,1775214722.548,2026-04-03T06:12:02.548-0500,108,1,229
06:12:03.548,1775214723.548,2026-04-03T06:12:03.548-0500,108,1,230
06:12:04.548,1775214724.548,2026-04-03T06:12:04.548-0500,108,1,231
06:12:05.548,1775214725.548,2026-04-03T06:12:05.548-0500,108,1,232
06:12:06.548,1775214726.548,2026-04-03T06:12:06.548-0500,108,1,233
06:12:07.548,1775214727.548,2026-04-03T06:12:07.548-0500,108,1,234
06:12:08.548,1775214728.548,2026-04-03T06:12:08.548-0500,108,1,235
06:12:09.548,1775214729.548,2026-04-03T06:12:09.548-0500,108,1,236
06:12:10.548,1775214730.548,2026-04-03T06:12:10.548-0500,109,1,237
06:12:11.548,1775214731.548,2026-04-03T06:12:11.548-0500,109,1,238
06:12:12.548,1775214732.548,2026-04-03T06:12:12.548-0500,110,1,239
06:12:13.548,1775214733.548,2026-04-03T06:12:13.548-0500,110,1,240
06:12:14.548,1775214734.548,2026-04-03T06:12:14.548-0500,109,1,241
06:12:15.548,1775214735.548,2026-04-03T06:12:15.548-0500,108,1,242
06:12:16.548,1775214736.548,2026-04-03T06:12:16.548-0500,108,1,243
06:12:17.548,1775214737.548,2026-04-03T06:12:17.548-0500,107,1,244
06:12:18.548,1775214738.548,2026-04-03T06:12:18.548-0500,106,1,245
06:12:19.548,1775214739.548,2026-04-03T06:12:19.548-0500,105,1,246
06:12:20.548,1775214740.548,2026-04-03T06:12:20.548-0500,105,1,247
06:12:21.548,1775214741.548,2026-04-03T06:12:21.548-0500,104,1,248
06:12:22.548,1775214742.548,2026-04-03T06:12:22.548-0500,103,1,249
06:12:23.548,1775214743.548,2026-04-03T06:12:23.548-0500,102,1,250
06:12:24.548,1775214744.548,2026-04-03T06:12:24.548-0500,102,1,251
06:12:25.548,1775214745.548,2026-04-03T06:12:25.548-0500,102,1,252
06:12:26.548,1775214746.548,2026-04-03T06:12:26.548-0500,102,1,253
06:12:27.548,1775214747.548,2026-04-03T06:12:27.548-0500,102,1,254
06:12:28.548,1775214748.548,2026-04-03T06:12:28.548-0500,102,1,255
06:12:29.548,1775214749.548,2026-04-03T06:12:29.548-0500,102,1,256
06:12:30.548,1775214750.548,2026-04-03T06:12:30.548-0500,102,1,257
06:12:31.548,1775214751.548,2026-04-03T06:12:31.548-0500,102,1,258
06:12:32.548,1775214752.548,2026-04-03T06:12:32.548-0500,102,1,259
06:12:33.548,1775214753.548,2026-04-03T06:12:33.548-0500,102,1,260
06:12:34.548,1775214754.548,2026-04-03T06:12:34.548-0500,102,1,261
06:12:35.548,1775214755.548,2026-04-03T06:12:35.548-0500,103,1,262
06:12:36.548,1775214756.548,2026-04-03T06:12:36.548-0500,103,1,263
06:12:37.548,1775214757.548,2026-04-03T06:12:37.548-0500,103,1,264
06:12:38.548,1775214758.548,2026-04-03T06:12:38.548-0500,104,1,265
06:12:39.548,1775214759.548,2026-04-03T06:12:39.548-0500,104,1,266
06:12:40.548,1775214760.548,2026-04-03T06:12:40.548-0500,105,1,267
06:12:41.548,1775214761.548,2026-04-03T06:12:41.548-0500,105,1,268
06:12:42.548,1775214762.548,2026-04-03T06:12:42.548-0500,106,1,269
06:12:43.548,1775214763.548,2026-04-03T06:12:43.548-0500,106,1,270
06:12:44.548,1775214764.548,2026-04-03T06:12:44.548-0500,107,1,271
06:12:45.548,1775214765.548,2026-04-03T06:12:45.548-0500,107,1,272
06:12:46.548,1775214766.548,2026-04-03T06:12:46.548-0500,106,1,273
06:12:47.548,1775214767.548,2026-04-03T06:12:47.548-0500,105,1,274
06:12:48.548,1775214768.548,2026-04-03T06:12:48.548-0500,104,1,275
06:12:49.548,1775214769.548,2026-04-03T06:12:49.548-0500,103,1,276
06:12:50.548,1775214770.548,2026-04-03T06:12:50.548-0500,102,1,277
06:12:51.548,1775214771.548,2026-04-03T06:12:51.548-0500,101,1,278
06:12:52.548,1775214772.548,2026-04-03T06:12:52.548-0500,100,1,279
06:12:53.548,1775214773.548,2026-04-03T06:12:53.548-0500,100,1,280
06:12:54.548,1775214774.548,2026-04-03T06:12:54.548-0500,100,1,281
06:12:55.548,1775214775.548,2026-04-03T06:12:55.548-0500,100,1,282
06:12:56.548,1775214776.548,2026-04-03T06:12:56.548-0500,100,1,283
06:12:57.548,1775214777.548,2026-04-03T06:12:57.548-0500,101,1,284
06:12:58.548,1775214778.548,2026-04-03T06:12:58.548-0500,101,1,285
06:12:59.548,1775214779.548,2026-04-03T06:12:59.548-0500,101,1,286
06:13:00.548,1775214780.548,2026-04-03T06:13:00.548-0500,101,1,287
06:13:01.548,1775214781.548,2026-04-03T06:13:01.548-0500,101,1,288
06:13:02.548,1775214782.548,2026-04-03T06:13:02.548-0500,100,1,289
06:13:03.548,1775214783.548,2026-04-03T06:13:03.548-0500,100,1,290
06:13:04.548,1775214784.548,2026-04-03T06:13:04.548-0500,99,1,291
06:13:05.548,1775214785.548,2026-04-03T06:13:05.548-0500,99,1,292
06:13:06.548,1775214786.548,2026-04-03T06:13:06.548-0500,99,1,293
06:13:07.548,1775214787.548,2026-04-03T06:13:07.548-0500,99,1,294
06:13:08.548,1775214788.548,2026-04-03T06:13:08.548-0500,98,1,295
06:13:09.548,1775214789.548,2026-04-03T06:13:09.548-0500,98,1,296
06:13:10.548,1775214790.548,2026-04-03T06:13:10.548-0500,98,1,297
06:13:11.548,1775214791.548,2026-04-03T06:13:11.548-0500,99,1,298
06:13:12.548,1775214792.548,2026-04-03T06:13:12.548-0500,99,1,299
06:13:13.548,1775214793.548,2026-04-03T06:13:13.548-0500,100,1,300
06:13:14.548,1775214794.548,2026-04-03T06:13:14.548-0500,100,1,301
06:13:15.548,1775214795.548,2026-04-03T06:13:15.548-0500,101,1,302
06:13:16.548,1775214796.548,2026-04-03T06:13:16.548-0500,101,1,303
06:13:17.548,1775214797.548,2026-04-03T06:13:17.548-0500,101,1,304
06:13:18.548,1775214798.548,2026-04-03T06:13:18.548-0500,101,1,305
06:13:19.548,1775214799.548,2026-04-03T06:13:19.548-0500,101,1,306
06:13:20.548,1775214800.548,2026-04-03T06:13:20.548-0500,101,1,307
06:13:21.548,1775214801.548,2026-04-03T06:13:21.548-0500,100,1,308
06:13:22.548,1775214802.548,2026-04-03T06:13:22.548-0500,100,1,309
06:13:23.548,1775214803.548,2026-04-03T06:13:23.548-0500,100,1,310
06:13:24.548,1775214804.548,2026-04-03T06:13:24.548-0500,100,1,311
06:13:25.548,1775214805.548,2026-04-03T06:13:25.548-0500,100,1,312
06:13:26.548,1775214806.548,2026-04-03T06:13:26.548-0500,100,1,313
06:13:27.548,1775214807.548,2026-04-03T06:13:27.548-0500,100,1,314
06:13:28.548,1775214808.548,2026-04-03T06:13:28.548-0500,100,1,315
06:13:29.548,1775214809.548,2026-04-03T06:13:29.548-0500,100,1,316
06:13:30.548,1775214810.548,2026-04-03T06:13:30.548-0500,100,1,317
06:13:31.548,1775214811.548,2026-04-03T06:13:31.548-0500,100,1,318
06:13:32.548,1775214812.548,2026-04-03T06:13:32.548-0500,100,1,319
06:13:33.548,1775214813.548,2026-04-03T06:13:33.548-0500,100,1,320
06:13:34.548,1775214814.548,2026-04-03T06:13:34.548-0500,100,1,321
06:13:35.548,1775214815.548,2026-04-03T06:13:35.548-0500,100,1,322
06:13:36.548,1775214816.548,2026-04-03T06:13:36.548-0500,100,1,323
06:13:37.548,1775214817.548,2026-04-03T06:13:37.548-0500,100,1,324
06:13:38.548,1775214818.548,2026-04-03T06:13:38.548-0500,100,1,325
06:13:39.548,1775214819.548,2026-04-03T06:13:39.548-0500,100,1,326
06:13:40.548,1775214820.548,2026-04-03T06:13:40.548-0500,100,1,327
06:13:41.548,1775214821.548,2026-04-03T06:13:41.548-0500,99,1,328
06:13:42.548,1775214822.548,2026-04-03T06:13:42.548-0500,99,1,329
06:13:43.548,1775214823.548,2026-04-03T06:13:43.548-0500,99,1,330
06:13:44.548,1775214824.548,2026-04-03T06:13:44.548-0500,99,1,331
06:13:45.548,1775214825.548,2026-04-03T06:13:45.548-0500,99,1,332
06:13:46.548,1775214826.548,2026-04-03T06:13:46.548-0500,100,1,333
06:13:47.548,1775214827.548,2026-04-03T06:13:47.548-0500,100,1,334
06:13:48.548,1775214828.548,2026-04-03T06:13:48.548-0500,100,1,335
06:13:49.548,1775214829.548,2026-04-03T06:13:49.548-0500,100,1,336
