Date, Workout Type, Calories, Time, Distance, Pace, Heart Rate, Elevation
11/18/25,Walking,"32" kcal, 7min,"0.32" mi,"24m 18s","99 bpm","0 m"
11/20/25,Walking,"146" kcal, 33min,"1.75" mi,"19m 18s","95 bpm","0 m"
11/20/25,Walking,"73" kcal, 14min,"0.81" mi,"18m 24s","113 bpm","0 m"
11/22/25,Walking,"364" kcal, 53min,"3.01" mi,"17m 55s","113 bpm","0 m"
11/23/25,Walking,"120" kcal, 21min,"1.08" mi,"19m 53s","99 bpm","0 m"
12/15/25,Walking,"193" kcal, 47min,"2.44" mi,"19m 22s","90 bpm","0 m"
12/16/25,Walking,"204" kcal, 45min,"2.24" mi,"20m 22s","94 bpm","0 m"
12/16/25,Walking,"124" kcal, 42min,"1.78" mi,"23m 47s","91 bpm","0 m"
12/17/25,Walking,"103" kcal, 29min,"1.46" mi,"19m 57s","90 bpm","0 m"
12/30/25,Walking,"70" kcal, 21min,"1.05" mi,"20m 46s","85 bpm","0 m"
12/31/25,Walking,"78" kcal, 19min,"0.99" mi,"19m 59s","87 bpm","0 m"
1/1/26,Walking,"61" kcal, 24min,"0.68" mi,"35m 24s","73 bpm","4.56 m"
1/9/26,Walking,"7" kcal, 1min,"0.08" mi,"16m 33s","0 bpm","4.32 m"
1/14/26,Walking,"42" kcal, 10min,"0.54" mi,"18m 31s","0 bpm","0 m"
1/23/26,Walking,"39" kcal, 14min,"0.44" mi,"33m 37s","92 bpm","0 m"
1/26/26,Walking,"35" kcal, 7min,"0.42" mi,"18m 27s","97 bpm","10.99 m"
1/27/26,Walking,"20" kcal, 4min,"0.27" mi,"15m 45s","110 bpm","6.14 m"
1/28/26,Walking,"55" kcal, 15min,"0.6" mi,"25m","60 bpm","0 m"
1/28/26,Walking,"29" kcal, 11min,"0.27" mi,"43m 19s","84 bpm","7.25 m"
1/28/26,Walking,"60" kcal, 20min,"0.53" mi,"39m 31s","90 bpm","23.15 m"
1/28/26,Walking,"15" kcal, 3min,"0.19" mi,"18m 50s","98 bpm","9.25 m"
2/2/26,Walking,"103" kcal, 30min,"1.51" mi,"20m 18s","82 bpm","42.64 m"
